time,seconds_elapsed,z,y,x
1744896831123395300,0.074395263671875,-35.11159896850586,4.892199993133545,-14.151999473571777
1744896831133408800,0.08440869140625,-35.09939956665039,4.989799976348877,-13.554200172424316
1744896831143395000,0.09439501953125,-34.78219985961914,4.745800018310547,-13.956799507141113
1744896831153412400,0.104412353515625,-34.830997467041016,5.489999771118164,-13.93239974975586
1744896831163395300,0.114395263671875,-35.319000244140625,5.05079984664917,-14.347199440002441
1744896831173401300,0.1244013671875,-34.5260009765625,5.087399959564209,-14.151999473571777
1744896831183393300,0.134393310546875,-35.06279754638672,5.392399787902832,-14.944999694824219
1744896831193393200,0.14439306640625,-34.5260009765625,5.075200080871582,-14.652199745178223
1744896831203380200,0.154380126953125,-34.5260009765625,5.087399959564209,-14.151999473571777
1744896831213376000,0.1643759765625,-35.11159896850586,4.892199993133545,-14.054399490356445
1744896831223393300,0.174393310546875,-35.196998596191406,5.148399829864502,-14.24959945678711
1744896831233393200,0.18439306640625,-34.891998291015625,4.73360013961792,-14.261799812316895
1744896831243392500,0.194392578125,-34.952999114990234,5.404599666595459,-14.335000038146973
1744896831253380000,0.204380126953125,-34.28199768066406,5.172800064086914,-14.347199440002441
1744896831263402200,0.21440234375,-34.257598876953125,5.416800022125244,-14.432600021362305
1744896831273393700,0.2243935546875,-34.66019821166992,4.818999767303467,-14.261799812316895
1744896831283393300,0.234393310546875,-34.952999114990234,5.319200038909912,-14.444799423217773
1744896831293380400,0.24438037109375,-34.53820037841797,4.916599750518799,-14.359399795532227
1744896831303393300,0.254393310546875,-34.40399932861328,5.172800064086914,-14.24959945678711
1744896831313374200,0.264374267578125,-35.270198822021484,5.636399745941162,-14.432600021362305
1744896831323392000,0.27439208984375,-34.696800231933594,5.660799980163574,-14.432600021362305
1744896831333412000,0.284412109375,-35.06279754638672,5.392399787902832,-14.432600021362305
1744896831343421000,0.2944208984375,-34.5260009765625,5.075200080871582,-14.347199440002441
1744896831353388800,0.304388916015625,-34.891998291015625,4.818999767303467,-14.261799812316895
1744896831363411700,0.31441162109375,-34.989601135253906,4.97760009765625,-14.55459976196289
1744896831373377000,0.324376953125,-35.23360061645508,4.80679988861084,-14.151999473571777
1744896831383411500,0.334411376953125,-34.28199768066406,5.172800064086914,-14.542399406433105
1744896831393411800,0.344411865234375,-34.904197692871094,4.63599967956543,-14.76200008392334
1744896831403401700,0.354401611328125,-34.17219924926758,5.087399959564209,-14.542399406433105
1744896831413395200,0.364395263671875,-35.03839874267578,4.3919997215271,-14.469200134277344
1744896831423411200,0.3744111328125,-34.01359939575195,4.343199729919434,-14.469200134277344
1744896831433412400,0.384412353515625,-34.70899963378906,4.233399868011475,-14.27400016784668
1744896831443412000,0.394411865234375,-34.562599182128906,4.574999809265137,-14.664400100708008
1744896831453395200,0.404395263671875,-34.46500015258789,4.501800060272217,-14.164199829101562
1744896831463411700,0.41441162109375,-34.7333984375,4.07480001449585,-14.176400184631348
1744896831473412000,0.424412109375,-34.940799713134766,4.233399868011475,-14.078800201416016
1744896831483395000,0.43439501953125,-34.940799713134766,4.233399868011475,-14.176400184631348
1744896831493412000,0.444412109375,-34.9286003112793,4.3919997215271,-14.176400184631348
1744896831503409000,0.454408935546875,-34.245399475097656,4.330999851226807,-14.371600151062012
1744896831513405700,0.46440576171875,-34.379600524902344,4.160200119018555,-14.27400016784668
1744896831523411700,0.47441162109375,-34.34299850463867,4.489599704742432,-14.664400100708008
1744896831533395200,0.484395263671875,-34.367401123046875,4.330999851226807,-14.176400184631348
1744896831543411700,0.49441162109375,-34.47719955444336,4.330999851226807,-14.27400016784668
1744896831553411300,0.504411376953125,-34.48939895629883,4.160200119018555,-14.38379955291748
1744896831563411500,0.514411376953125,-34.257598876953125,4.257800102233887,-14.176400184631348
1744896831573412000,0.524412109375,-34.379600524902344,4.160200119018555,-14.38379955291748
1744896831583386600,0.53438671875,-34.586997985839844,4.416399955749512,-14.06659984588623
1744896831593411800,0.544411865234375,-34.586997985839844,4.416399955749512,-14.06659984588623
1744896831603395000,0.55439501953125,-34.586997985839844,4.416399955749512,-14.06659984588623
1744896831613395700,0.564395751953125,-34.03799819946289,4.172399997711182,-14.078800201416016
1744896831623412000,0.574411865234375,-35.160400390625,4.3919997215271,-14.176400184631348
1744896831633411800,0.584411865234375,-34.59920120239258,4.233399868011475,-14.27400016784668
1744896831643393300,0.594393310546875,-34.13560104370117,4.343199729919434,-13.871399879455566
1744896831653381600,0.604381591796875,-34.80659866333008,4.477399826049805,-14.566800117492676
1744896831663380200,0.614380126953125,-34.81879806518555,4.31879997253418,-13.968999862670898
1744896831673393200,0.62439306640625,-34.940799713134766,4.31879997253418,-14.176400184631348
1744896831683393500,0.6343935546875,-34.70899963378906,4.233399868011475,-14.078800201416016
1744896831693380600,0.644380615234375,-34.623600006103516,3.9893999099731445,-14.078800201416016
1744896831703393300,0.654393310546875,-34.623600006103516,3.9772000312805176,-14.786399841308594
1744896831713380000,0.664380126953125,-34.196598052978516,3.6721999645233154,-13.993399620056152
1744896831723393000,0.67439306640625,-34.42839813232422,3.6599998474121094,-14.200799942016602
1744896831733393200,0.68439306640625,-34.61140060424805,4.1479997634887695,-14.676599502563477
1744896831743380700,0.694380615234375,-34.03799819946289,4.086999893188477,-14.078800201416016
1744896831753393000,0.704392822265625,-34.635799407958984,3.8185999393463135,-14.493599891662598
1744896831763393300,0.714393310546875,-34.40399932861328,3.8307998180389404,-14.090999603271484
1744896831773393200,0.72439306640625,-34.635799407958984,3.8185999393463135,-14.286199569702148
1744896831783393000,0.73439306640625,-33.85499954223633,3.6721999645233154,-14.493599891662598
1744896831793395700,0.744395751953125,-34.879798889160156,3.6477999687194824,-13.993399620056152
1744896831803393300,0.754393310546875,-34.53820037841797,3.6477999687194824,-14.59119987487793
1744896831813383400,0.764383544921875,-34.97739791870117,3.8917999267578125,-14.59119987487793
1744896831823393300,0.774393310546875,-34.7333984375,3.9772000312805176,-14.481399536132812
1744896831833393200,0.78439306640625,-34.2942008972168,3.8307998180389404,-13.883599281311035
1744896831843408400,0.794408447265625,-33.96479797363281,3.6721999645233154,-14.298399925231934
1744896831853395000,0.80439501953125,-34.562599182128906,3.3183999061584473,-14.505799293518066
1744896831863411700,0.81441162109375,-33.28160095214844,3.6965999603271484,-13.993399620056152
1744896831873377000,0.824376953125,-33.623199462890625,3.5989999771118164,-14.298399925231934
1744896831883411500,0.834411376953125,-34.77000045776367,3.5623998641967773,-14.200799942016602
1744896831893411600,0.84441162109375,-33.989200592041016,3.3306000232696533,-14.408199310302734
1744896831903409000,0.854408935546875,-34.379600524902344,4.07480001449585,-14.38379955291748
1744896831913398000,0.86439794921875,-34.0989990234375,3.4159998893737793,-14.70099925994873
1744896831923403000,0.874403076171875,-34.12339782714844,3.1598000526428223,-14.517999649047852
1744896831933411300,0.884411376953125,-33.79399871826172,3.086599826812744,-14.517999649047852
1744896831943412000,0.894411865234375,-34.12339782714844,3.1598000526428223,-14.310599327087402
1744896831953409800,0.904409912109375,-33.45240020751953,3.025599956512451,-14.017799377441406
1744896831963411700,0.91441162109375,-33.80619812011719,2.915799856185913,-15.127999305725098
1744896831973411800,0.924411865234375,-33.97700119018555,3.4891998767852783,-15.201199531555176
1744896831983412000,0.934411865234375,-33.952598571777344,2.574199914932251,-14.932799339294434
1744896831993411300,0.944411376953125,-33.464599609375,2.830399990081787,-15.420799255371094
1744896832003391700,0.954391845703125,-33.59880065917969,2.659600019454956,-15.22559928894043
1744896832013400800,0.96440087890625,-33.13520050048828,2.769399881362915,-14.822999954223633
1744896832023411700,0.97441162109375,-33.48899841308594,2.586400032043457,-15.030399322509766
1744896832033386800,0.98438671875,-34.2942008972168,2.562000036239624,-15.237799644470215
1744896832043411700,0.99441162109375,-34.562599182128906,2.037400007247925,-15.554999351501465
1744896832053411000,1.0044111328125,-34.562599182128906,2.037400007247925,-15.554999351501465
1744896832063394800,1.014394775390625,-34.85540008544922,2.622999906539917,-15.127999305725098
1744896832073411800,1.024411865234375,-33.952598571777344,2.562000036239624,-15.335399627685547
1744896832083415800,1.034415771484375,-33.83060073852539,2.64739990234375,-15.432999610900879
1744896832093411800,1.044411865234375,-33.73299789428711,2.415600061416626,-14.73759937286377
1744896832103411200,1.0544111328125,-34.22100067138672,2.147199869155884,-14.847399711608887
1744896832113395500,1.0643955078125,-33.83060073852539,2.586400032043457,-14.530200004577637
1744896832123397600,1.074397705078125,-33.611000061035156,2.500999927520752,-15.237799644470215
1744896832133393000,1.084392822265625,-33.818397521972656,2.744999885559082,-15.127999305725098
1744896832143393000,1.09439306640625,-34.2942008972168,2.562000036239624,-15.140199661254883
1744896832153393400,1.104393310546875,-33.72079849243164,2.586400032043457,-14.530200004577637
1744896832163380000,1.1143798828125,-33.73299789428711,2.415600061416626,-14.835199356079102
1744896832173393200,1.12439306640625,-33.85499954223633,2.317999839782715,-15.237799644470215
1744896832183393000,1.13439306640625,-34.208797454833984,2.232599973678589,-15.04259967803955
1744896832193393200,1.14439306640625,-33.73299789428711,2.415600061416626,-14.73759937286377
1744896832203393500,1.1543935546875,-34.2942008972168,2.476599931716919,-14.932799339294434
1744896832213396500,1.164396484375,-33.97700119018555,2.317999839782715,-14.944999694824219
1744896832223393500,1.1743935546875,-33.879398345947266,2.0739998817443848,-15.152400016784668
1744896832233393200,1.18439306640625,-34.35519790649414,1.8909999132156372,-14.55459976196289
1744896832243379500,1.19437939453125,-33.72079849243164,2.500999927520752,-14.932799339294434
1744896832253393000,1.204392822265625,-33.745201110839844,2.330199956893921,-14.847399711608887
1744896832263393300,1.214393310546875,-34.28199768066406,2.732800006866455,-14.7253999710083
1744896832273393200,1.22439306640625,-34.062400817871094,2.574199914932251,-14.932799339294434
1744896832283393300,1.234393310546875,-34.44059753417969,2.134999990463257,-15.054800033569336
1744896832293386500,1.244386474609375,-33.293800354003906,2.171599864959717,-15.152400016784668
1744896832303393300,1.254393310546875,-33.39139938354492,2.415600061416626,-15.335399627685547
1744896832313381400,1.26438134765625,-33.623199462890625,2.330199956893921,-15.04259967803955
1744896832323380700,1.274380615234375,-32.84239959716797,2.0983998775482178,-15.347599983215332
1744896832333393200,1.28439306640625,-33.52560043334961,2.244799852371216,-15.445199966430664
1744896832343408400,1.294408447265625,-33.2693977355957,2.415600061416626,-15.542799949645996
1744896832353402600,1.304402587890625,-32.90340042114258,2.769399881362915,-14.920599937438965
1744896832363411700,1.31441162109375,-33.501197814941406,2.415600061416626,-15.237799644470215
1744896832373407000,1.324406982421875,-33.40359878540039,2.342400074005127,-14.73759937286377
1744896832383395600,1.3343955078125,-33.2693977355957,2.427799940109253,-15.140199661254883
1744896832393411300,1.344411376953125,-32.84239959716797,2.183799982070923,-14.944999694824219
1744896832403402500,1.354402587890625,-33.049800872802734,2.440000057220459,-14.835199356079102
1744896832413380600,1.364380615234375,-32.84239959716797,2.19599986076355,-14.847399711608887
1744896832423411200,1.3744111328125,-33.635398864746094,2.244799852371216,-15.347599983215332
1744896832433395200,1.384395263671875,-32.927799224853516,2.440000057220459,-15.140199661254883
1744896832443411700,1.39441162109375,-33.28160095214844,2.342400074005127,-15.04259967803955
1744896832453408800,1.40440869140625,-33.0620002746582,2.269199848175049,-15.04259967803955
1744896832463411700,1.41441162109375,-32.96440124511719,2.0251998901367188,-14.55459976196289
1744896832473411600,1.42441162109375,-33.196197509765625,2.0983998775482178,-15.054800033569336
1744896832483397400,1.4343974609375,-32.52519989013672,1.8543999195098877,-15.262199401855469
1744896832493411800,1.444411865234375,-32.84239959716797,2.0983998775482178,-15.152400016784668
1744896832503420700,1.454420654296875,-32.4031982421875,1.9397999048233032,-15.457399368286133
1744896832513394700,1.464394775390625,-32.13479995727539,2.464400053024292,-14.835199356079102
1744896832523411700,1.47441162109375,-32.1713981628418,2.037400007247925,-15.554999351501465
1744896832533395200,1.484395263671875,-32.75699996948242,1.8543999195098877,-15.152400016784668
1744896832543411700,1.49441162109375,-31.695598602294922,2.220399856567383,-15.25
1744896832553396200,1.504396240234375,-32.26900100708008,2.122799873352051,-15.347599983215332
1744896832563411700,1.51441162109375,-32.06159973144531,1.8665999174118042,-15.859999656677246
1744896832573411800,1.524411865234375,-32.732601165771484,2.0983998775482178,-15.347599983215332
1744896832583415600,1.53441552734375,-32.183597564697266,1.8543999195098877,-16.055200576782227
1744896832593411600,1.54441162109375,-32.37879943847656,2.281399965286255,-15.640399932861328
1744896832603411500,1.554411376953125,-32.19580078125,1.7079999446868896,-15.164599418640137
1744896832613376000,1.5643759765625,-32.20800018310547,1.524999976158142,-15.56719970703125
1744896832623393000,1.57439306640625,-31.939599990844727,2.037400007247925,-15.847799301147461
1744896832633393000,1.584392822265625,-31.597999572753906,1.9642000198364258,-15.457399368286133
1744896832643393000,1.59439306640625,-31.231998443603516,2.232599973678589,-15.445199966430664
1744896832653393200,1.60439306640625,-31.951799392700195,1.8787999153137207,-15.457399368286133
1744896832663384600,1.614384521484375,-31.841999053955078,1.8787999153137207,-15.3597993850708
1744896832673393000,1.624392822265625,-32.1713981628418,2.037400007247925,-15.457399368286133
1744896832683393000,1.63439306640625,-31.927398681640625,2.122799873352051,-15.945399284362793
1744896832693380000,1.644380126953125,-32.39099884033203,2.0251998901367188,-15.859999656677246
1744896832703393000,1.65439306640625,-31.561399459838867,2.391200065612793,-15.542799949645996
1744896832713386500,1.664386474609375,-31.329599380493164,2.476599931716919,-16.23819923400879
1744896832723393000,1.67439306640625,-32.049400329589844,2.0251998901367188,-16.25040054321289
1744896832733380000,1.684380126953125,-32.15919876098633,2.110599994659424,-16.152799606323242
1744896832743379200,1.694379150390625,-31.695598602294922,2.122799873352051,-16.25040054321289
