time,seconds_elapsed,z,y,x
1746620264075974100,0.09397412109375,-40.40639877319336,-14.932799339294434,-17.23859977722168
1746620264085974000,0.10397412109375,-40.2234001159668,-15.518399238586426,-17.458200454711914
1746620264095978800,0.113978759765625,-40.2599983215332,-14.676599502563477,-17.336198806762695
1746620264105998800,0.123998779296875,-40.96759796142578,-14.87179946899414,-17.23859977722168
1746620264115987000,0.133987060546875,-40.52840042114258,-15.018199920654297,-17.348400115966797
1746620264125975300,0.143975341796875,-39.95499801635742,-15.005999565124512,-17.14099884033203
1746620264135987000,0.153987060546875,-40.21120071411133,-15.347599983215332,-17.458200454711914
1746620264145987300,0.1639873046875,-39.72319793701172,-14.993800163269043,-17.54360008239746
1746620264155987200,0.1739873046875,-40.552799224853516,-15.3597993850708,-17.153200149536133
1746620264165987000,0.183987060546875,-40.552799224853516,-15.3597993850708,-17.25079917907715
1746620264175969800,0.1939697265625,-40.11359786987305,-15.506199836730957,-17.360599517822266
1746620264185988600,0.203988525390625,-39.83300018310547,-14.920599937438965,-17.336198806762695
1746620264195999500,0.21399951171875,-40.4552001953125,-15.530599594116211,-17.458200454711914
1746620264205977300,0.223977294921875,-40.34539794921875,-15.603799819946289,-17.5679988861084
1746620264215987000,0.233987060546875,-40.46739959716797,-15.603799819946289,-17.470399856567383
1746620264225987000,0.243987060546875,-40.11359786987305,-15.603799819946289,-17.5679988861084
1746620264235987000,0.253987060546875,-40.2234001159668,-15.518399238586426,-17.665599822998047
1746620264245986300,0.263986328125,-40.01599884033203,-15.677000045776367,-17.470399856567383
1746620264255976700,0.273976806640625,-40.2599983215332,-15.859999656677246,-17.775400161743164
1746620264265987000,0.283987060546875,-40.918800354003906,-15.542799949645996,-17.360599517822266
1746620264275987000,0.293987060546875,-41.06520080566406,-15.957599639892578,-17.079999923706055
1746620264285975300,0.303975341796875,-40.38199996948242,-16.018600463867188,-17.17759895324707
1746620264295989200,0.3139892578125,-39.68659973144531,-15.90880012512207,-16.872600555419922
1746620264305987000,0.323987060546875,-40.601600646972656,-15.859999656677246,-16.872600555419922
1746620264315987000,0.333987060546875,-40.27219772338867,-16.018600463867188,-16.872600555419922
1746620264325987000,0.343987060546875,-40.674800872802734,-15.445199966430664,-16.95800018310547
1746620264335973600,0.3539736328125,-40.00379943847656,-15.591599464416504,-16.95800018310547
1746620264345987000,0.363987060546875,-40.10139846801758,-15.420799255371094,-17.055599212646484
1746620264355987200,0.3739873046875,-40.35759735107422,-15.689199447631836,-17.1653995513916
1746620264365987000,0.383987060546875,-40.95539855957031,-16.042999267578125,-17.27519989013672
1746620264375987000,0.393987060546875,-40.79679870605469,-15.457399368286133,-17.55579948425293
1746620264385973500,0.403973388671875,-40.2599983215332,-15.847799301147461,-17.067800521850586
1746620264395986700,0.413986572265625,-39.52799987792969,-15.323199272155762,-17.055599212646484
1746620264405986800,0.42398681640625,-40.11359786987305,-15.591599464416504,-17.067800521850586
1746620264415985400,0.4339853515625,-40.00379943847656,-15.591599464416504,-17.458200454711914
1746620264425988900,0.44398876953125,-40.11359786987305,-15.591599464416504,-17.360599517822266
1746620264436005400,0.45400537109375,-40.00379943847656,-15.591599464416504,-17.055599212646484
1746620264445986000,0.463986083984375,-40.11359786987305,-15.518399238586426,-17.665599822998047
1746620264456005400,0.47400537109375,-40.12580108642578,-15.677000045776367,-17.1653995513916
1746620264465991700,0.48399169921875,-39.869598388671875,-15.420799255371094,-17.360599517822266
1746620264476005000,0.494005126953125,-40.21120071411133,-15.347599983215332,-17.153200149536133
1746620264486005500,0.504005615234375,-40.77239990234375,-15.286600112915039,-17.458200454711914
1746620264495988700,0.51398876953125,-39.674400329589844,-15.762399673461914,-17.970600128173828
1746620264506005500,0.524005615234375,-40.32099914550781,-15.274399757385254,-17.653400421142578
1746620264516005600,0.534005615234375,-40.11359786987305,-15.518399238586426,-17.958398818969727
1746620264526005500,0.544005615234375,-40.34539794921875,-15.518399238586426,-17.458200454711914
1746620264536004900,0.5540048828125,-39.393798828125,-15.152400016784668,-17.043399810791016
1746620264546025700,0.564025634765625,-39.40599822998047,-15.237799644470215,-17.653400421142578
1746620264555978500,0.573978515625,-40.66259765625,-15.274399757385254,-17.348400115966797
1746620264565987000,0.583987060546875,-40.47959899902344,-15.7746000289917,-17.067800521850586
1746620264575987000,0.593987060546875,-40.40639877319336,-14.932799339294434,-16.9335994720459
1746620264585987000,0.603987060546875,-40.4307975769043,-15.274399757385254,-17.55579948425293
1746620264595974100,0.61397412109375,-40.79679870605469,-15.530599594116211,-17.26300048828125
1746620264605986800,0.62398681640625,-40.65039825439453,-15.189000129699707,-17.043399810791016
1746620264615987000,0.633987060546875,-40.44300079345703,-15.432999610900879,-17.055599212646484
1746620264625974000,0.64397412109375,-40.65039825439453,-15.189000129699707,-16.652999877929688
1746620264635987200,0.6539873046875,-40.32099914550781,-15.347599983215332,-17.153200149536133
1746620264645986800,0.66398681640625,-40.308799743652344,-15.189000129699707,-18.055999755859375
1746620264655984600,0.673984619140625,-40.52840042114258,-15.103599548339844,-17.445999145507812
1746620264666005500,0.684005615234375,-40.41859817504883,-15.103599548339844,-17.54360008239746
1746620264676020200,0.694020263671875,-40.77239990234375,-15.201199531555176,-17.445999145507812
1746620264686005800,0.704005859375,-40.296600341796875,-15.018199920654297,-17.54360008239746
1746620264695989000,0.713989013671875,-40.78459930419922,-15.3597993850708,-17.153200149536133
1746620264705988900,0.72398876953125,-40.96759796142578,-14.87179946899414,-17.336198806762695
1746620264716005400,0.73400537109375,-40.74800109863281,-15.030399322509766,-17.54360008239746
1746620264725989000,0.743989013671875,-40.992000579833984,-15.115799903869629,-17.25079917907715
1746620264736005000,0.754005126953125,-40.8577995300293,-14.944999694824219,-17.14099884033203
1746620264745986000,0.763986083984375,-40.83340072631836,-14.70099925994873,-17.53139877319336
1746620264755974700,0.773974609375,-40.8943977355957,-15.371999740600586,-17.360599517822266
1746620264765987000,0.783987060546875,-40.308799743652344,-15.176799774169922,-17.043399810791016
1746620264775987000,0.793987060546875,-40.625999450683594,-14.859600067138672,-17.14099884033203
1746620264785987000,0.803987060546875,-40.4307975769043,-15.189000129699707,-17.153200149536133
1746620264795986700,0.813986572265625,-39.930599212646484,-14.835199356079102,-17.54360008239746
1746620264805987000,0.823987060546875,-40.882198333740234,-15.213399887084961,-17.958398818969727
1746620264815987000,0.833987060546875,-40.40639877319336,-15.018199920654297,-17.750999450683594
1746620264825967600,0.843967529296875,-40.2599983215332,-14.676599502563477,-17.22640037536621
1746620264835973600,0.8539736328125,-40.0281982421875,-14.578999519348145,-17.22640037536621
1746620264845986800,0.86398681640625,-40.04039764404297,-14.749799728393555,-16.9335994720459
1746620264855987000,0.873987060546875,-40.0526008605957,-14.835199356079102,-17.23859977722168
1746620264865973800,0.883973876953125,-40.36980056762695,-14.505799293518066,-16.82379913330078
1746620264875987000,0.893987060546875,-40.503997802734375,-14.859600067138672,-17.83639907836914
1746620264885988600,0.903988525390625,-40.625999450683594,-14.859600067138672,-17.54360008239746
