time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1746620264083338800,0.1013388671875,-0.894890546798706,-0.02881018817424774,0.015755342319607735,0.44507619738578796,0.002558669773861766,-0.06563570350408554,2.2186217308044434
1746620264100151300,0.1181513671875,-0.89527827501297,-0.029659051448106766,0.016137288883328438,0.4442262351512909,0.0025498780887573957,-0.06749466061592102,2.220492362976074
1746620264116969700,0.1349697265625,-0.8956115245819092,-0.03069419227540493,0.016424335539340973,0.44347304105758667,0.0022008849773555994,-0.069603830575943,2.2221295833587646
1746620264133778200,0.151778076171875,-0.8958764672279358,-0.031553469598293304,0.01692373678088188,0.4428582787513733,0.0023818283807486296,-0.07158678025007248,2.223475933074951
1746620264150574300,0.16857421875,-0.8960840106010437,-0.03216787055134773,0.017539935186505318,0.4423696994781494,0.002982325851917267,-0.0732339471578598,2.224560260772705
1746620264167394800,0.185394775390625,-0.8962484002113342,-0.03257275000214577,0.018263939768075943,0.44197767972946167,0.003956209868192673,-0.0746002271771431,2.2254481315612793
1746620264184220700,0.202220703125,-0.8963599801063538,-0.032867804169654846,0.01915278099477291,0.44169196486473083,0.0053160181269049644,-0.07591491937637329,2.22611403465271
1746620264201006000,0.219006103515625,-0.896432638168335,-0.033168017864227295,0.02011403813958168,0.4414791166782379,0.006796133238822222,-0.07730260491371155,2.226621389389038
1746620264217820700,0.235820556640625,-0.8964735269546509,-0.033544786274433136,0.020997676998376846,0.4413264989852905,0.008064404129981995,-0.0787590816617012,2.2269864082336426
1746620264234628400,0.25262841796875,-0.8964957594871521,-0.034012287855148315,0.02163439802825451,0.441214919090271,0.008805223740637302,-0.08016040176153183,2.2272419929504395
1746620264251435800,0.269435791015625,-0.8965378999710083,-0.03454830124974251,0.02176225371658802,0.44108113646507263,0.008572536520659924,-0.0812348797917366,2.2275145053863525
1746620264268247000,0.2862470703125,-0.8965851068496704,-0.035066161304712296,0.02156592719256878,0.44095394015312195,0.007772441487759352,-0.08199059963226318,2.227755069732666
1746620264285054500,0.303054443359375,-0.8966096043586731,-0.03540288284420967,0.021283332258462906,0.44089099764823914,0.006971735507249832,-0.08234541863203049,2.227858304977417
1746620264301851600,0.3198515625,-0.896571159362793,-0.03542791306972504,0.021169403567910194,0.4409726858139038,0.006737119983881712,-0.08229038864374161,2.227667808532715
1746620264318668500,0.33666845703125,-0.8963878154754639,-0.035301487892866135,0.021398117765784264,0.44134438037872314,0.007226299028843641,-0.08226829022169113,2.226858377456665
1746620264335479600,0.3534794921875,-0.896065890789032,-0.035391464829444885,0.021638918668031693,0.4419786334037781,0.007520997431129217,-0.08264809846878052,2.2254481315612793
1746620264352288000,0.3702880859375,-0.895666241645813,-0.035754378885030746,0.02161550149321556,0.44276005029678345,0.007083941716700792,-0.08328518271446228,2.2236757278442383
1746620264369096000,0.387095947265625,-0.8952664136886597,-0.03629235550761223,0.02123676985502243,0.4435426890850067,0.005851341877132654,-0.0839199498295784,2.221867084503174
1746620264385904600,0.403904541015625,-0.8949111700057983,-0.036733511835336685,0.02093367651104927,0.4442371129989624,0.004848076030611992,-0.08444582670927048,2.2202649116516113
1746620264402713000,0.420713134765625,-0.8946048617362976,-0.03679504990577698,0.020827030763030052,0.44485339522361755,0.00454333471134305,-0.0844644084572792,2.218874454498291
1746620264419539000,0.4375390625,-0.8943113684654236,-0.036345452070236206,0.020901164039969444,0.445476770401001,0.00501979561522603,-0.08372806757688522,2.2175137996673584
1746620264436339700,0.454339599609375,-0.8940081000328064,-0.03570296987891197,0.020908335223793983,0.4461364448070526,0.005546582397073507,-0.08258728682994843,2.2160799503326416
1746620264453172200,0.471172119140625,-0.893706202507019,-0.03525407984852791,0.020938901230692863,0.4467752277851105,0.005945073440670967,-0.08181478083133698,2.2146804332733154
1746620264469960700,0.487960693359375,-0.8934295773506165,-0.03513224422931671,0.02106326073408127,0.44733163714408875,0.0062263659201562405,-0.0817117989063263,2.2134475708007812
1746620264486769200,0.50476904296875,-0.8931535482406616,-0.03526197746396065,0.021298691630363464,0.44786137342453003,0.006482959724962711,-0.08215884864330292,2.212264060974121
1746620264503576000,0.521576171875,-0.8928566575050354,-0.035467639565467834,0.021583296358585358,0.4484230875968933,0.006755752954632044,-0.08278647065162659,2.211005926132202
1746620264520359700,0.538359619140625,-0.89259272813797,-0.035538677126169205,0.021512264385819435,0.44894590973854065,0.006515891756862402,-0.08285357803106308,2.2098238468170166
1746620264537194500,0.555194580078125,-0.8923562169075012,-0.03517899289727211,0.021044094115495682,0.4494664967060089,0.0059540411457419395,-0.08179279416799545,2.2086539268493652
1746620264554002700,0.572002685546875,-0.8921522498130798,-0.03440574184060097,0.020488349720835686,0.44995662569999695,0.005613215267658234,-0.07991308718919754,2.2075746059417725
1746620264570794200,0.588794189453125,-0.8919926285743713,-0.03345758095383644,0.02016831748187542,0.45035868883132935,0.005861983168870211,-0.07793264836072922,2.206716299057007
1746620264587606000,0.60560595703125,-0.8918371796607971,-0.03265588358044624,0.02006286196410656,0.4507299065589905,0.006366262678056955,-0.07640765607357025,2.205927610397339
1746620264604414500,0.62241455078125,-0.8916445970535278,-0.03213406726717949,0.020178044214844704,0.4511432945728302,0.007009217981249094,-0.07558265328407288,2.2050373554229736
1746620264621222400,0.639222412109375,-0.8913658857345581,-0.031958818435668945,0.020203204825520515,0.45170480012893677,0.007165357004851103,-0.07529690116643906,2.203787326812744
1746620264638032400,0.656032470703125,-0.8909817337989807,-0.03213747590780258,0.01993301324546337,0.4524616003036499,0.006456331349909306,-0.07537700980901718,2.2020623683929443
