time,seconds_elapsed,relativeAltitude,pressure
1746620228315928300,0.19892822265625,0,1015.4882202148438
1746620228340960800,0.223960693359375,-0.07398414611816406,1015.4973754882812
1746620228365992000,0.248991943359375,-0.07398414611816406,1015.4973754882812
1746620228391023900,0.27402392578125,0.026422500610351562,1015.4851684570312
1746620228416068600,0.299068603515625,0.052845001220703125,1015.4821166992188
1746620228441099800,0.324099853515625,-0.1796741485595703,1015.5095825195312
1746620228466115600,0.349115478515625,-0.4544715881347656,1015.5431518554688
1746620228491146200,0.374146240234375,-0.5337390899658203,1015.5523071289062
1746620228516176100,0.399176025390625,-0.4333324432373047,1015.5401000976562
1746620228541207800,0.424207763671875,-0.4808940887451172,1015.5462036132812
1746620228566253300,0.44925341796875,-0.7081298828125,1015.5736694335938
1746620228591287300,0.474287353515625,-0.6077232360839844,1015.5614624023438
1746620228616319700,0.49931982421875,-0.38048744201660156,1015.5339965820312
1746620228641350000,0.524349853515625,-0.5601615905761719,1015.5553588867188
1746620228666365700,0.54936572265625,-0.8613815307617188,1015.5919799804688
1746620228691398700,0.574398681640625,-0.6869907379150391,1015.5706176757812
1746620228716430800,0.599430908203125,-0.35406494140625,1015.5309448242188
1746620228741461000,0.6244609375,-0.3065032958984375,1015.5248413085938
1746620228766487300,0.6494873046875,-0.5337390899658203,1015.5521850585938
1746620228791522300,0.674522216796875,-0.6077232360839844,1015.5613403320312
1746620228816536800,0.699536865234375,-0.6817054748535156,1015.5704956054688
1746620228841565700,0.724565673828125,-0.6077232360839844,1015.5613403320312
1746620228866608000,0.749608154296875,-0.20081329345703125,1015.5125122070312
1746620228891643000,0.774642822265625,-0.052845001220703125,1015.4942016601562
1746620228916684500,0.7996845703125,-0.1268291473388672,1015.5033569335938
1746620228941690000,0.824690185546875,-0.17438888549804688,1015.5094604492188
1746620228966719200,0.84971923828125,-0.17438888549804688,1015.5094604492188
1746620228991764700,0.8747646484375,-0.32764244079589844,1015.5277709960938
1746620229016794400,0.89979443359375,-0.4808940887451172,1015.5460815429688
1746620229041823200,0.9248232421875,-0.5337390899658203,1015.5521850585938
1746620229066852400,0.949852294921875,-0.5548782348632812,1015.5552368164062
1746620229091894800,0.974894775390625,-0.6341457366943359,1015.5643920898438
1746620229116926700,0.9999267578125,-0.6605682373046875,1015.5674438476562
1746620229141956900,1.024956787109375,-0.5337390899658203,1015.5521850585938
1746620229166971400,1.049971435546875,-0.4544715881347656,1015.5430297851562
1746620229192004900,1.0750048828125,-0.5813007354736328,1015.5582885742188
1746620229217033000,1.100032958984375,-0.7609748840332031,1015.5796508789062
1746620229242064100,1.125064208984375,-0.7609748840332031,1015.5796508789062
1746620229267081700,1.150081787109375,-0.5337390899658203,1015.5521850585938
1746620229292112100,1.175112060546875,-0.4808940887451172,1015.5460815429688
1746620229317141800,1.200141845703125,-0.4069099426269531,1015.5369262695312
1746620229342170400,1.22517041015625,-0.38048744201660156,1015.5338745117188
1746620229367202300,1.250202392578125,-0.5548782348632812,1015.5552368164062
1746620229392225500,1.2752255859375,-0.6341457366943359,1015.5643920898438
1746620229417256700,1.300256591796875,-0.3012199401855469,1015.5247192382812
1746620229442278400,1.3252783203125,-0.17438888549804688,1015.5094604492188
1746620229467321600,1.350321533203125,-0.5337390899658203,1015.5521850585938
1746620229492352000,1.37535205078125,-0.5813007354736328,1015.5582885742188
1746620229517379000,1.400379150390625,-0.15325164794921875,1015.5064086914062
1746620229542407400,1.425407470703125,-0.026422500610351562,1015.4911499023438
1746620229567433200,1.45043310546875,-0.4333324432373047,1015.5399780273438
1746620229592477200,1.475477294921875,-0.5548782348632812,1015.5552368164062
1746620229617503700,1.500503662109375,-0.32764244079589844,1015.5277709960938
1746620229642530800,1.52553076171875,-0.1268291473388672,1015.5033569335938
1746620229667536600,1.55053662109375,-0.17438888549804688,1015.5094604492188
1746620229692587300,1.575587158203125,-0.5337390899658203,1015.5521850585938
1746620229717604000,1.60060400390625,-0.8349590301513672,1015.5888061523438
1746620229742632000,1.6256318359375,-0.7609748840332031,1015.5796508789062
1746620229767649300,1.650649169921875,-0.4069099426269531,1015.5369262695312
1746620229792693200,1.675693359375,-0.3012199401855469,1015.5247192382812
1746620229817723600,1.7007236328125,-0.38048744201660156,1015.5338745117188
1746620229842754600,1.725754638671875,-0.4069099426269531,1015.5369262695312
1746620229867768800,1.750768798828125,-0.4069099426269531,1015.5369262695312
1746620229892822800,1.77582275390625,-0.5073165893554688,1015.5491333007812
1746620229917822700,1.80082275390625,-0.5548782348632812,1015.5552368164062
1746620229942871000,1.82587109375,-0.5813007354736328,1015.5582885742188
1746620229967892000,1.85089208984375,-0.4808940887451172,1015.5460815429688
1746620229992946200,1.8759462890625,-0.4069099426269531,1015.5369262695312
1746620230017968000,1.900968017578125,-0.5813007354736328,1015.5582885742188
1746620230042991900,1.925991943359375,-0.8878040313720703,1015.5949096679688
1746620230068033500,1.951033447265625,-0.7873973846435547,1015.5827026367188
1746620230093051600,1.9760517578125,-0.4069099426269531,1015.5369262695312
1746620230118082300,2.001082275390625,-0.3012199401855469,1015.5247192382812
1746620230143114500,2.026114501953125,-0.4808940887451172,1015.5460815429688
1746620230168140300,2.051140380859375,-0.5548782348632812,1015.5552368164062
1746620230193189000,2.076189208984375,-0.3012199401855469,1015.5245971679688
1746620230218206000,2.1012060546875,0.026422500610351562,1015.4849243164062
1746620230243235800,2.12623583984375,-0.07398414611816406,1015.4971313476562
1746620230268252700,2.151252685546875,-0.6077232360839844,1015.5612182617188
