time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1746620228265504300,0.148504150390625,0.8702019453048706,0.08643585443496704,0.041641008108854294,0.48326337337493896,0.011277545243501663,-0.1918552666902542,-2.1266305446624756
1746620228282324500,0.165324462890625,0.8699707388877869,0.08322100341320038,0.03819257393479347,0.4845271110534668,0.014433872886002064,-0.1828271746635437,-2.123948097229004
1746620228299135000,0.182135009765625,0.8696427345275879,0.0805610939860344,0.03496098518371582,0.4858079254627228,0.01773908920586109,-0.17497891187667847,-2.1211483478546143
1746620228315937300,0.198937255859375,0.8691823482513428,0.07858027517795563,0.032238129526376724,0.4871428310871124,0.020815376192331314,-0.16881094872951508,-2.1181533336639404
1746620228332748500,0.21574853515625,0.8685773015022278,0.07753080129623413,0.030212821438908577,0.4885178208351135,0.02358834631741047,-0.164948970079422,-2.1149632930755615
1746620228349556000,0.232555908203125,0.8678258061408997,0.07775039970874786,0.02894134260714054,0.4898935854434967,0.026302842423319817,-0.16403865814208984,-2.111605167388916
1746620228366360800,0.24936083984375,0.8669413328170776,0.07923533767461777,0.028341159224510193,0.4912547469139099,0.029113445430994034,-0.16599144041538239,-2.108093500137329
1746620228383176200,0.26617626953125,0.8658745288848877,0.08176594972610474,0.028257541358470917,0.4927241802215576,0.032110922038555145,-0.17026594281196594,-2.1041526794433594
1746620228399995100,0.2829951171875,0.864661693572998,0.08488298207521439,0.02878378890454769,0.49429386854171753,0.03468133881688118,-0.17615506052970886,-2.099886178970337
1746620228416808700,0.29980859375,0.8634397387504578,0.08806443214416504,0.029869316145777702,0.49580687284469604,0.03635825589299202,-0.18271036446094513,-2.095761299133301
1746620228433593000,0.316593017578125,0.8622845411300659,0.09082379192113876,0.03109944425523281,0.4972418248653412,0.03736121952533722,-0.18867725133895874,-2.0919010639190674
1746620228450402800,0.33340283203125,0.8613772392272949,0.09302883595228195,0.03186647966504097,0.49835681915283203,0.038551826030015945,-0.19322778284549713,-2.0888476371765137
1746620228467211800,0.350211669921875,0.8606314659118652,0.09478425979614258,0.032032206654548645,0.4993029832839966,0.04030172899365425,-0.19639629125595093,-2.086216449737549
1746620228484023600,0.3670234375,0.8599144816398621,0.09632683545351028,0.031652770936489105,0.500266432762146,0.04279513657093048,-0.19863905012607574,-2.083523750305176
1746620228500829000,0.383828857421875,0.8592526316642761,0.09754826873540878,0.030981164425611496,0.5012080669403076,0.04546450078487396,-0.20002438127994537,-2.0809202194213867
1746620228517644000,0.40064404296875,0.8587158918380737,0.09822411835193634,0.030227966606616974,0.5020411610603333,0.04768243804574013,-0.20038291811943054,-2.07869815826416
1746620228534449000,0.417448974609375,0.8582677841186523,0.09842319041490555,0.02953188493847847,0.5028093457221985,0.0492854043841362,-0.1999748945236206,-2.076758861541748
1746620228551257300,0.43425732421875,0.8579115867614746,0.09853488951921463,0.028989074751734734,0.5034265518188477,0.05049334093928337,-0.19957846403121948,-2.0752151012420654
1746620228568070100,0.451070068359375,0.8576359152793884,0.09870962798595428,0.02873171493411064,0.5038765072822571,0.05123124271631241,-0.19959084689617157,-2.074079990386963
1746620228584884000,0.467884033203125,0.857430636882782,0.09867285192012787,0.028957171365618706,0.5042201280593872,0.050881244242191315,-0.1997372806072235,-2.0733065605163574
1746620228601692000,0.48469189453125,0.8571875095367432,0.0983978882431984,0.029149381443858147,0.5046759843826294,0.050364259630441666,-0.19943223893642426,-2.0723283290863037
1746620228618513700,0.501513671875,0.8569613695144653,0.09799029678106308,0.028980646282434464,0.5051487684249878,0.05033836141228676,-0.1985284388065338,-2.0713040828704834
1746620228635293200,0.518293212890625,0.8568193316459656,0.09756281226873398,0.028702132403850555,0.5054881572723389,0.050450194627046585,-0.1974857598543167,-2.070586681365967
1746620228652121900,0.535121826171875,0.8567506074905396,0.09707199782133102,0.028691129758954048,0.5056996941566467,0.050000034272670746,-0.19661551713943481,-2.070216655731201
1746620228668914400,0.55191455078125,0.8566896319389343,0.09638051688671112,0.029007401317358017,0.5059173107147217,0.04877069592475891,-0.19573451578617096,-2.069920778274536
1746620228685725700,0.5687255859375,0.8566009402275085,0.09542568027973175,0.029384911060333252,0.5062264800071716,0.047178078442811966,-0.1944575011730194,-2.06948184967041
1746620228702534000,0.585533935546875,0.8564991354942322,0.0944434329867363,0.029506748542189598,0.5065757632255554,0.04600952938199043,-0.19286975264549255,-2.0689241886138916
1746620228719330600,0.60233056640625,0.8563790321350098,0.09358910471200943,0.029240956529974937,0.5069527626037598,0.0456545352935791,-0.19110414385795593,-2.0682244300842285
1746620228736147200,0.619147216796875,0.8562169671058655,0.09281635284423828,0.02878863923251629,0.5073941946029663,0.0457226037979126,-0.1892845183610916,-2.0673305988311768
1746620228752962800,0.635962890625,0.8560382723808289,0.09217842668294907,0.028220441192388535,0.5078437924385071,0.04613425210118294,-0.1875777542591095,-2.066370964050293
1746620228769768000,0.652767822265625,0.8558579087257385,0.09162222594022751,0.027680139988660812,0.5082780718803406,0.04657890647649765,-0.1860409677028656,-2.065429925918579
1746620228786576600,0.66957666015625,0.8556544780731201,0.09105897694826126,0.02734008990228176,0.5087397694587708,0.04667378589510918,-0.18469631671905518,-2.064446210861206
1746620228803384600,0.686384521484375,0.8554854393005371,0.0904126986861229,0.02724454551935196,0.5091444253921509,0.046243902295827866,-0.18346378207206726,-2.063642740249634
1746620228820193000,0.703193115234375,0.8553498983383179,0.08972758054733276,0.027271263301372528,0.5094916224479675,0.04554815962910652,-0.1822938770055771,-2.062994956970215
