time,seconds_elapsed,z,y,x
1744883829174218000,0.059218017578125,-23.692399978637695,-18.214599609375,13.151599884033203
1744883829184218400,0.06921826171875,-23.911998748779297,-18.141399383544922,13.4443998336792
1744883829194218500,0.079218505859375,-23.777799606323242,-17.88520050048828,13.261399269104004
1744883829204218400,0.08921826171875,-23.22879981994629,-18.117000579833984,13.249199867248535
1744883829214218500,0.099218505859375,-22.984800338745117,-17.946199417114258,12.74899959564209
1744883829224205300,0.109205322265625,-23.436199188232422,-17.88520050048828,12.651399612426758
1744883829234220300,0.11922021484375,-22.899398803710938,-18.287799835205078,12.74899959564209
1744883829244215000,0.129215087890625,-23.582599639892578,-18.22679901123047,12.138999938964844
1744883829254218800,0.13921875,-23.460599899291992,-18.214599609375,12.74899959564209
1744883829264218400,0.14921826171875,-22.8627986907959,-17.86079978942871,12.456199645996094
1744883829274205200,0.159205078125,-23.436199188232422,-17.970600128173828,12.553799629211426
1744883829284218400,0.16921826171875,-23.9242000579834,-18.23900032043457,12.236599922180176
1744883829294218200,0.17921826171875,-23.19219970703125,-17.702199935913086,12.565999984741211
1744883829304218400,0.18921826171875,-23.106800079345703,-18.043800354003906,12.553799629211426
1744883829314218500,0.199218505859375,-23.411800384521484,-17.628999710083008,12.358599662780762
1744883829324206000,0.2092060546875,-23.680198669433594,-18.055999755859375,12.74899959564209
1744883829334205200,0.219205078125,-22.618799209594727,-17.690000534057617,12.456199645996094
1744883829344218400,0.22921826171875,-22.972599029541016,-17.787599563598633,12.456199645996094
1744883829354218500,0.239218505859375,-23.19219970703125,-17.714399337768555,12.456199645996094
1744883829364218400,0.24921826171875,-23.045799255371094,-17.372798919677734,12.065799713134766
1744883829374223000,0.25922314453125,-23.558198928833008,-17.970600128173828,12.553799629211426
1744883829384218000,0.269218017578125,-23.899799346923828,-17.982799530029297,12.248799324035645
1744883829394218200,0.27921826171875,-23.277599334716797,-17.458200454711914,12.468400001525879
1744883829404205300,0.289205322265625,-23.338600158691406,-18.129199981689453,12.74899959564209
1744883829414218500,0.299218505859375,-23.411800384521484,-17.714399337768555,12.26099967956543
1744883829424218400,0.30921826171875,-23.765600204467773,-17.812000274658203,12.151199340820312
1744883829434205700,0.319205810546875,-23.78999900817871,-17.982799530029297,12.248799324035645
1744883829444218600,0.329218505859375,-23.729000091552734,-17.397199630737305,12.370800018310547
1744883829454216200,0.33921630859375,-24.20479965209961,-17.5802001953125,12.468400001525879
1744883829464208600,0.349208740234375,-22.88719940185547,-18.117000579833984,12.248799324035645
1744883829474218200,0.35921826171875,-23.423999786376953,-17.7997989654541,12.553799629211426
1744883829484205300,0.369205322265625,-23.314199447631836,-17.88520050048828,12.358599662780762
1744883829494218500,0.379218505859375,-23.765600204467773,-17.726598739624023,12.358599662780762
