time,seconds_elapsed,relativeAltitude,pressure
1746620293937191200,0.126191162109375,0,1014.5172729492188
1746620293962217000,0.151217041015625,-0.07398319244384766,1014.5264282226562
1746620293987244800,0.176244873046875,-0.17438983917236328,1014.5386352539062
1746620294012269600,0.20126953125,-0.047560691833496094,1014.5233764648438
1746620294037297000,0.226296875,0.13211345672607422,1014.5020141601562
1746620294062326800,0.251326904296875,0.2589426040649414,1014.4867553710938
1746620294087356700,0.276356689453125,-0.02113819122314453,1014.5203247070312
1746620294112382000,0.3013818359375,-0.4016256332397461,1014.5661010742188
1746620294137422800,0.3264228515625,-0.4016256332397461,1014.5661010742188
1746620294162455600,0.35145556640625,-0.17438983917236328,1014.5386352539062
1746620294187463700,0.376463623046875,-0.20081233978271484,1014.5416870117188
1746620294212510500,0.401510498046875,-0.30121898651123047,1014.5538940429688
1746620294237537800,0.426537841796875,-0.20081233978271484,1014.5416870117188
1746620294262566400,0.45156640625,-0.1268291473388672,1014.5325317382812
1746620294287595500,0.476595458984375,-0.2747964859008789,1014.5508422851562
1746620294312623400,0.501623291015625,-0.32764148712158203,1014.5569458007812
1746620294337651700,0.526651611328125,-0.17438983917236328,1014.5386352539062
1746620294362665700,0.551665771484375,-0.1268291473388672,1014.5325317382812
1746620294387693600,0.576693603515625,-0.17438983917236328,1014.5383911132812
1746620294412721000,0.601720947265625,-0.37520313262939453,1014.5628051757812
1746620294437748500,0.62674853515625,-0.42804813385009766,1014.5689086914062
1746620294462778000,0.651778076171875,-0.34878063201904297,1014.5597534179688
1746620294487804200,0.67680419921875,-0.30121898651123047,1014.5536499023438
1746620294512846300,0.701846435546875,-0.2747964859008789,1014.5505981445312
1746620294537873400,0.726873291015625,-0.2747964859008789,1014.5505981445312
1746620294562901000,0.75190087890625,-0.34878063201904297,1014.5597534179688
1746620294587929600,0.7769296875,-0.34878063201904297,1014.5597534179688
1746620294612956700,0.801956787109375,-0.20081233978271484,1014.5414428710938
1746620294637984500,0.826984619140625,-0.2747964859008789,1014.5505981445312
1746620294662994400,0.851994384765625,-0.4016256332397461,1014.5658569335938
1746620294688022800,0.877022705078125,-0.24837398529052734,1014.5475463867188
1746620294713052700,0.902052734375,0.10569095611572266,1014.5048217773438
1746620294738085000,0.927085205078125,0.17967510223388672,1014.4956665039062
1746620294763125200,0.952125244140625,-0.047560691833496094,1014.5231323242188
1746620294788143000,0.97714306640625,-0.0951223373413086,1014.5292358398438
1746620294813176000,1.002176025390625,-0.20081233978271484,1014.5414428710938
1746620294838205700,1.027205810546875,-0.2747964859008789,1014.5505981445312
1746620294863237400,1.0522373046875,-0.2747964859008789,1014.5508422851562
1746620294888266500,1.0772666015625,-0.2272357940673828,1014.5447387695312
1746620294913296400,1.10229638671875,-0.2272357940673828,1014.5447387695312
1746620294938329900,1.127329833984375,-0.17438983917236328,1014.5386352539062
1746620294963361300,1.152361328125,-0.20081233978271484,1014.5416870117188
1746620294988394500,1.17739453125,-0.2747964859008789,1014.5508422851562
1746620295013441000,1.20244091796875,-0.24837398529052734,1014.5477905273438
1746620295038473000,1.227472900390625,-0.32764148712158203,1014.5569458007812
1746620295063506700,1.252506591796875,-0.4808940887451172,1014.5752563476562
1746620295088540000,1.277539794921875,-0.4544706344604492,1014.5722045898438
1746620295113554400,1.302554443359375,-0.20081233978271484,1014.5416870117188
1746620295138585300,1.32758544921875,-0.35406494140625,1014.5599975585938
1746620295163615200,1.352615234375,-0.5812997817993164,1014.5874633789062
1746620295188657400,1.377657470703125,-0.32764148712158203,1014.5569458007812
1746620295213679600,1.4026796875,0.026422500610351562,1014.5142211914062
1746620295238708700,1.427708740234375,-0.1268291473388672,1014.5325317382812
1746620295263738600,1.452738525390625,-0.35406494140625,1014.5599975585938
1746620295288768000,1.47776806640625,-0.30121898651123047,1014.5538940429688
1746620295313806800,1.502806884765625,-0.30121898651123047,1014.5538940429688
1746620295338828500,1.52782861328125,-0.2747964859008789,1014.5508422851562
1746620295363847200,1.55284716796875,-0.1268291473388672,1014.5325317382812
1746620295388886000,1.577885986328125,0.05284595489501953,1014.5111694335938
1746620295413915100,1.6029150390625,-0.047560691833496094,1014.5233764648438
1746620295438943200,1.627943115234375,-0.1268291473388672,1014.5325317382812
1746620295463971600,1.6529716796875,-0.047560691833496094,1014.5233764648438
1746620295488989000,1.677989013671875,0.05284595489501953,1014.5111694335938
1746620295514042600,1.703042724609375,0.026422500610351562,1014.5142211914062
1746620295539072800,1.72807275390625,-0.1268291473388672,1014.5325317382812
1746620295564104400,1.7531044921875,-0.20081233978271484,1014.5416870117188
1746620295589132500,1.778132568359375,-0.2272357940673828,1014.5447387695312
1746620295614164500,1.80316455078125,-0.14796733856201172,1014.5355834960938
1746620295639195600,1.828195556640625,-0.24837398529052734,1014.5477905273438
1746620295664224500,1.853224609375,-0.24837398529052734,1014.5477905273438
1746620295689258000,1.878258056640625,-0.1268291473388672,1014.5325317382812
1746620295714301000,1.903301025390625,-0.047560691833496094,1014.5233764648438
1746620295739317500,1.9283173828125,-0.14796733856201172,1014.5355834960938
1746620295764348700,1.9533486328125,-0.20081233978271484,1014.5416870117188
1746620295789391600,1.9783916015625,-0.2272357940673828,1014.5447387695312
1746620295814388200,2.00338818359375,-0.17438983917236328,1014.5383911132812
1746620295839419000,2.0284189453125,-0.17438983917236328,1014.5383911132812
1746620295864436000,2.05343603515625,-0.32764148712158203,1014.5567016601562
1746620295889463800,2.0784638671875,-0.4016256332397461,1014.5658569335938
1746620295914515700,2.103515625,-0.32764148712158203,1014.5567016601562
